pH,Temperature,Turbidity_V,Dissolved_Oxygen,Distance_CM,Threat_Label
6.92,34.4,1.29,3.4,11.4,1
7.28,28.7,1.31,8.6,6.4,1
6.85,34.8,0.94,8.0,12.8,0
5.61,25.6,1.16,2.9,11.0,1
7.09,26.9,1.31,4.9,24.5,1
8.76,24.9,1.05,1.6,23.0,1
5.36,22.7,1.36,8.6,15.0,1
5.4,22.1,1.34,5.6,5.2,1
6.77,34.2,0.92,3.0,14.4,1
9.71,34.8,0.96,3.3,20.0,1
8.34,20.7,0.91,8.8,1.9,1
8.39,22.3,0.92,5.9,11.4,0
6.81,26.4,1.34,4.4,2.0,1
7.97,22.8,1.36,5.0,6.9,1
5.05,25.5,0.83,1.8,3.2,1
8.18,21.9,1.16,1.6,24.1,1
9.57,26.8,1.14,5.7,5.1,1
8.06,24.1,1.03,5.1,4.6,1
9.37,25.3,1.18,3.9,24.3,1
8.62,21.4,1.37,5.5,13.4,1
5.6,26.4,0.9,1.6,19.2,1
9.51,34.7,0.87,8.6,8.9,1
5.33,24.9,0.82,3.3,13.8,1
7.67,33.1,1.02,1.6,1.2,1
5.71,32.6,1.0,2.4,10.8,1
5.06,34.3,1.06,1.8,14.3,1
7.11,31.9,1.1,2.4,13.3,1
6.48,29.9,1.25,4.3,10.7,1
7.43,32.8,1.04,6.9,19.9,0
7.89,21.1,1.0,3.2,13.0,0
5.22,26.9,1.3,4.5,16.3,1
5.62,34.8,1.31,8.4,5.4,1
7.79,31.5,0.94,3.4,21.7,0
6.72,34.4,0.99,7.4,9.7,0
8.65,31.7,1.3,2.3,12.6,1
8.26,33.1,0.85,2.4,9.5,1
9.23,30.6,1.0,4.6,22.4,1
8.46,31.4,1.07,2.9,22.6,1
7.15,27.8,0.91,8.2,6.4,0
8.36,33.9,0.91,1.4,19.1,1
6.38,32.4,1.05,5.8,3.5,1
6.53,32.7,1.25,5.8,1.7,1
8.94,30.1,1.3,1.5,21.1,0
7.23,24.6,1.39,6.9,4.1,1
8.99,20.5,0.84,4.8,4.7,1
9.11,34.0,0.93,6.8,15.6,1
9.29,28.8,1.25,7.6,20.6,1
9.58,24.5,1.12,3.6,5.6,1
7.15,22.2,1.0,4.9,3.7,1
6.59,32.4,0.92,3.1,2.9,1
7.91,32.5,0.97,2.6,1.6,1
6.86,32.2,1.06,1.0,3.8,1
8.01,29.7,0.91,8.7,23.6,0
8.53,25.5,1.38,4.5,3.3,1
8.44,24.6,0.86,1.1,15.3,1
6.87,20.1,1.39,1.1,23.1,1
5.83,32.5,1.31,3.3,16.1,1
7.15,21.3,1.05,1.1,1.8,1
5.71,29.5,1.24,4.0,15.3,1
9.45,27.6,1.2,1.5,22.7,1
6.73,27.9,0.93,1.3,8.7,1
5.77,33.9,1.0,6.4,8.5,1
5.13,20.5,1.11,8.3,7.0,1
8.23,31.6,1.18,4.3,13.1,0
8.18,20.8,1.13,7.7,6.7,0
6.7,20.6,1.08,1.2,18.4,1
5.36,26.4,1.07,7.2,16.5,1
7.05,20.9,1.1,1.5,10.6,1
6.56,31.8,1.06,7.7,18.3,0
8.39,27.9,1.12,8.1,3.4,1
8.03,20.4,1.33,7.3,19.0,1
6.82,20.6,1.18,7.6,15.5,0
6.09,29.2,1.23,5.5,16.1,0
9.94,32.1,1.16,3.1,2.6,1
7.27,26.6,1.19,6.1,15.8,0
8.44,28.3,1.15,4.5,12.9,0
5.7,32.0,0.82,1.0,12.7,1
7.43,29.2,1.4,4.8,8.7,1
5.14,23.4,0.82,6.2,1.2,1
7.53,29.2,1.04,1.1,11.1,1
9.82,29.4,0.86,6.0,10.6,1
6.92,31.0,0.86,6.2,11.1,0
5.19,29.3,1.28,2.3,15.7,1
5.15,34.5,1.06,4.4,8.2,1
6.94,23.0,1.28,8.7,7.5,1
5.8,34.3,0.96,8.1,12.9,1
5.12,28.1,0.95,4.3,15.2,1
8.78,30.1,0.95,3.8,14.6,1
7.29,21.5,1.17,2.0,22.2,1
6.45,25.7,1.29,1.3,19.5,1
9.5,31.5,1.07,3.4,2.3,1
5.58,30.6,1.03,8.5,14.5,1
9.78,20.6,1.38,8.7,11.0,1
6.57,28.2,0.87,7.5,9.7,0
9.44,21.3,1.09,3.8,24.0,0
8.01,34.9,1.05,2.1,12.0,1
9.13,33.5,0.86,5.8,18.3,1
9.92,20.3,0.96,6.2,24.2,1
6.44,32.9,0.82,4.4,4.6,1
9.81,33.8,1.33,6.5,2.3,1
6.95,25.3,1.16,7.0,8.5,0
6.93,30.8,1.29,7.3,2.1,1
6.7,26.6,1.11,5.0,3.8,1
7.71,29.8,1.16,7.3,24.8,0
5.77,25.1,1.22,1.2,24.0,1
7.77,24.8,1.34,6.4,17.6,1
7.71,26.4,0.86,2.9,19.1,1
8.81,22.2,1.0,3.2,4.4,1
9.17,32.5,1.23,1.7,15.3,1
7.2,25.2,1.38,2.5,4.7,1
6.51,26.0,1.39,8.9,10.1,1
6.3,33.4,1.18,4.3,9.3,0
5.97,27.4,0.92,8.4,15.7,1
5.29,28.2,0.87,2.3,2.9,1
6.71,34.3,1.37,2.6,3.5,1
6.35,33.3,1.06,5.5,15.6,0
9.83,22.5,0.92,3.8,16.3,1
7.79,27.1,1.36,6.2,9.2,1
6.74,34.6,0.86,4.4,4.5,1
7.9,25.6,1.24,7.5,22.3,0
5.7,25.6,1.18,4.5,2.3,1
7.22,22.9,0.85,5.6,18.2,0
8.13,21.7,1.0,3.6,4.4,1
7.44,31.1,0.89,6.6,16.3,0
7.01,31.6,1.16,6.2,16.9,0
9.97,34.5,1.09,4.2,20.3,1
9.4,31.6,0.8,3.2,10.5,1
8.12,23.7,1.39,5.9,1.5,1
7.85,20.6,1.01,8.5,20.5,0
8.1,34.8,0.95,2.1,11.7,1
6.01,25.1,0.93,7.4,21.3,0
6.98,24.7,0.9,5.3,19.6,0
5.2,33.6,1.4,5.2,13.0,1
7.38,28.8,0.98,8.7,25.0,0
7.72,23.2,1.04,5.8,12.1,0
6.14,33.3,1.32,7.6,17.7,1
9.82,34.9,1.19,5.1,17.1,1
9.55,21.3,1.02,3.0,13.4,1
8.61,32.9,1.34,6.6,15.0,1
7.67,25.9,1.25,8.4,20.2,0
9.35,27.9,0.94,7.7,14.7,1
5.65,33.7,1.19,2.6,11.8,1
8.95,34.6,1.35,3.5,16.9,1
5.62,23.9,1.1,5.1,1.9,1
8.97,23.2,1.24,5.6,3.6,1
6.38,21.2,1.38,2.6,4.0,1
9.39,28.4,1.21,2.8,11.2,1
9.72,20.2,0.86,7.1,21.9,1
5.74,26.2,0.95,6.8,16.4,1
7.31,21.1,1.16,7.7,24.3,0
9.9,26.1,0.97,8.5,2.0,1
7.42,20.6,1.37,3.5,18.3,1
9.32,32.5,1.04,7.9,8.5,1
7.94,23.1,1.07,6.3,1.6,1
6.88,24.9,1.22,8.7,20.8,0
6.43,33.1,1.11,3.2,4.9,1
6.02,31.2,1.03,3.2,6.1,0
8.81,23.3,0.85,6.6,9.2,1
6.93,21.1,1.16,8.4,19.9,0
7.56,30.7,1.32,7.6,16.0,1
7.46,25.9,1.21,6.8,7.4,0
7.89,31.5,1.03,4.1,5.0,0
9.33,26.7,0.88,6.7,3.6,1
9.9,25.2,1.29,7.4,4.6,1
7.04,26.8,1.37,7.0,21.8,1
9.14,31.2,1.03,6.4,23.1,1
8.82,33.5,1.24,1.4,24.2,1
7.87,20.7,1.05,6.3,21.0,0
9.78,27.9,1.1,4.8,22.3,1
6.0,20.5,1.3,8.7,20.6,1
5.55,27.0,0.85,5.9,24.0,1
9.27,33.3,1.12,5.9,21.3,1
7.2,25.4,0.93,9.0,12.1,0
9.23,34.0,1.0,1.7,8.8,1
9.47,29.5,1.19,3.2,15.0,1
5.31,34.0,0.82,6.2,15.6,1
9.42,31.4,1.16,3.5,14.8,1
7.24,21.6,0.97,3.8,18.0,0
7.55,23.5,1.2,8.1,17.8,0
8.13,25.9,0.88,5.6,3.1,1
9.63,22.6,1.24,1.8,7.9,1
5.1,27.4,1.19,3.5,22.4,1
7.38,27.1,1.38,1.6,15.2,1
8.44,34.3,1.35,5.4,8.9,1
8.61,26.5,0.97,2.4,21.4,1
8.46,31.8,0.82,7.9,7.0,0
5.67,34.1,1.19,5.6,10.8,1
6.5,33.2,1.16,1.5,7.6,1
6.79,23.1,0.82,3.4,21.9,0
9.02,27.4,0.87,5.9,18.5,1
6.39,25.2,1.15,3.7,12.0,0
6.05,26.0,1.35,5.1,23.4,1
9.79,25.4,1.34,8.3,23.3,1
5.04,32.4,0.89,3.8,18.1,1
9.99,26.8,1.03,3.7,22.4,1
8.38,27.9,0.83,7.6,18.3,0
9.14,34.7,1.08,3.6,16.1,1
6.47,20.9,1.25,1.6,11.1,1
5.07,27.3,1.27,2.4,7.6,1
8.69,31.6,1.1,8.6,2.4,1
9.17,22.3,0.86,8.5,20.2,1
8.7,29.2,1.03,2.8,3.9,1
5.71,23.6,1.36,5.4,10.8,1
8.77,33.0,0.94,2.1,6.6,1
8.84,24.9,0.99,6.4,11.9,1
8.29,24.9,1.25,2.5,8.6,1
8.83,29.0,1.24,1.4,20.9,1
9.23,22.8,1.35,7.6,24.5,1
8.07,24.3,1.03,3.6,23.6,0
5.44,26.2,1.11,1.9,15.9,1
7.44,25.3,1.08,7.7,24.5,0
5.39,27.9,1.36,7.1,10.6,1
7.04,29.0,1.26,6.5,13.5,1
7.04,28.5,1.3,8.3,7.2,1
5.33,29.8,0.88,4.9,22.6,1
6.74,24.6,1.28,2.0,5.3,1
5.55,21.9,1.06,1.5,15.7,1
9.04,31.4,0.81,3.5,20.2,1
9.74,32.8,0.84,1.7,15.3,1
5.36,23.9,1.21,5.3,2.9,1
9.78,26.1,1.02,1.1,15.7,1
7.61,27.5,1.32,4.6,19.4,1
6.5,28.0,1.24,2.4,5.5,1
5.38,29.9,0.81,3.9,18.7,1
7.5,20.6,1.21,6.4,22.1,0
8.97,30.8,0.92,3.8,24.7,1
8.54,20.9,1.05,3.7,10.8,1
5.25,27.0,1.17,8.9,1.6,1
5.36,32.4,1.32,6.8,11.1,1
7.01,26.8,1.07,5.1,16.8,0
6.48,22.2,1.29,5.6,22.4,1
6.16,34.8,1.27,6.0,23.5,1
6.41,33.3,1.05,1.2,22.8,1
9.02,31.6,1.1,1.6,16.8,1
9.65,26.2,1.22,6.2,17.4,1
7.03,22.8,0.82,3.9,1.1,1
9.53,34.1,1.33,1.4,9.7,1
6.61,28.0,1.26,3.4,22.8,1
7.38,32.8,0.95,2.0,17.6,1
6.13,25.1,1.39,8.3,12.2,1
8.2,25.0,0.91,2.6,3.5,1
9.89,34.8,1.35,2.1,6.9,1
8.02,27.8,0.99,6.0,14.3,0
6.79,22.1,1.26,5.2,22.5,0
8.24,23.3,1.07,5.6,3.3,1
5.61,27.2,1.24,4.5,4.7,1
9.44,20.6,0.89,4.7,16.7,1
7.52,26.9,0.96,7.2,8.1,0
7.25,26.3,0.86,2.8,5.1,1
7.93,31.7,1.32,4.2,5.3,1
8.12,25.3,0.98,8.7,12.8,0
5.36,34.7,1.22,2.5,15.0,1
8.41,22.7,1.29,3.4,22.7,1
6.21,28.9,1.34,2.5,13.7,1
8.57,21.3,0.86,1.2,17.6,1
9.11,31.0,1.34,3.2,5.3,1
9.02,34.9,0.92,1.4,18.1,0
7.76,32.3,1.24,2.2,16.6,1
7.6,28.3,1.24,3.9,6.2,0
5.71,27.3,0.81,1.2,17.1,1
8.88,32.5,0.93,7.0,6.1,1
6.36,34.0,1.1,7.4,15.2,0
7.48,34.8,1.05,4.3,17.1,0
6.42,25.9,1.35,8.9,17.6,1
5.67,34.9,1.02,6.4,22.8,1
8.15,22.3,1.36,6.9,23.7,1
5.27,23.8,1.08,2.5,20.4,1
8.74,21.3,1.38,7.7,22.1,1
6.59,24.1,1.24,8.6,1.5,1
5.0,31.5,1.3,2.9,9.7,1
7.56,32.8,0.86,6.5,2.0,1
5.23,31.7,1.15,7.0,6.4,1
6.38,29.5,0.89,3.4,10.2,0
8.53,27.7,0.98,4.8,21.8,1
5.31,30.6,1.17,1.8,13.3,1
9.2,25.9,1.24,2.4,16.6,1
5.02,32.6,0.82,1.5,9.7,1
6.23,30.2,1.12,5.5,15.5,0
8.7,30.5,1.14,6.0,20.6,1
6.58,28.0,0.85,8.3,8.2,0
5.51,33.3,1.1,5.3,23.4,1
6.8,23.8,1.23,3.1,6.1,0
6.35,25.7,0.83,1.5,23.1,1
9.21,31.7,1.26,8.1,1.7,1
6.57,27.4,1.15,4.8,14.0,0
8.94,33.3,1.3,6.9,24.6,1
9.46,25.2,0.93,1.1,15.6,1
7.17,25.5,1.3,4.9,14.3,1
9.55,33.3,0.86,3.6,17.4,1
6.89,27.0,1.04,1.2,7.9,1
9.82,27.7,0.92,7.2,2.3,1
5.45,25.0,1.33,5.1,7.0,1
8.44,24.2,1.22,3.7,5.2,0
7.47,29.8,0.82,7.4,23.2,0
6.94,21.8,0.81,4.6,21.5,0
8.16,33.2,0.97,1.0,8.6,1
8.52,31.7,0.89,8.6,21.1,1
5.02,22.9,1.18,3.0,6.1,1
5.83,30.4,1.2,7.6,5.8,1
8.57,29.0,1.37,7.5,19.4,1
8.33,22.8,1.37,2.3,8.8,1
9.83,24.1,1.2,4.8,2.6,1
8.81,26.1,0.8,1.3,18.3,1
9.75,30.5,1.02,3.8,24.8,1
8.51,29.6,1.11,6.8,14.6,1
6.49,28.0,1.1,2.9,7.3,1
5.53,31.5,1.16,1.9,9.9,1
8.91,31.4,1.38,5.1,16.6,1
8.22,29.3,1.33,5.3,17.8,1
5.24,31.8,0.87,6.4,22.3,1
6.8,25.0,0.96,7.1,22.8,0
9.78,33.2,1.3,6.6,21.7,1
7.5,29.2,1.29,7.8,16.6,1
7.16,32.3,0.97,2.8,11.8,1
7.29,28.2,1.24,5.6,17.3,0
6.04,23.3,1.2,3.9,17.0,0
6.84,28.1,1.08,8.7,6.2,0
6.85,25.6,0.92,4.5,13.2,0
5.26,30.5,1.33,8.7,6.0,1
8.84,27.1,1.21,7.2,22.6,1
7.08,32.5,0.9,6.7,8.8,0
9.11,30.2,1.22,4.9,20.3,1
9.25,30.3,1.24,4.5,10.1,1
6.06,23.3,1.33,5.2,19.3,1
8.29,34.8,0.93,3.3,6.3,0
7.36,32.6,1.39,8.2,19.3,1
9.4,31.8,0.89,7.4,5.3,1
6.08,25.0,1.16,7.4,12.8,0
8.39,28.0,1.19,4.5,3.7,1
8.04,22.1,1.05,1.6,13.7,1
6.48,28.1,1.09,6.5,20.7,0
5.68,22.2,1.33,4.0,19.1,1
8.26,28.3,1.19,8.0,2.2,1
8.69,29.7,1.1,7.2,12.8,1
6.58,25.9,0.88,2.2,21.5,1
8.22,27.5,0.8,5.8,16.6,0
6.98,33.1,0.87,6.5,2.4,1
8.57,21.6,1.37,5.5,8.8,1
6.0,31.9,1.26,5.1,14.4,1
9.45,22.6,1.38,2.8,5.1,1
6.44,20.6,0.82,2.9,17.4,1
6.84,22.8,1.21,7.1,16.2,0
5.29,31.5,0.83,1.1,5.9,1
5.56,26.1,1.27,7.2,14.2,1
7.58,33.1,1.03,5.2,20.5,0
6.34,27.9,0.86,8.5,10.0,0
9.18,20.3,1.14,9.0,6.9,1
5.07,30.8,0.97,6.3,17.8,1
6.9,21.7,1.2,4.3,2.7,1
6.69,31.8,1.19,4.8,21.0,0
5.1,22.5,1.22,2.6,23.6,1
5.62,25.2,1.4,1.8,24.2,1
7.07,31.4,1.03,5.6,11.4,0
7.46,34.3,1.08,7.4,16.0,0
7.02,25.6,1.28,3.1,21.6,1
7.65,32.4,1.15,4.4,6.4,0
7.98,22.9,0.82,5.4,1.7,1
5.05,32.1,1.31,8.3,10.2,1
7.32,29.9,0.83,2.1,22.2,1
9.82,22.9,0.9,2.9,13.1,1
7.6,24.5,0.86,8.3,13.7,0
8.39,22.0,0.85,1.3,17.6,1
6.56,25.7,0.82,6.2,14.8,0
8.87,23.1,0.83,6.1,2.3,0
8.86,29.7,1.07,4.1,14.5,1
7.61,34.9,0.95,4.7,16.6,0
9.88,20.2,0.88,7.8,16.4,1
5.63,28.1,1.2,2.3,18.5,1
5.08,28.6,0.94,2.9,13.5,1
8.85,33.7,0.81,5.1,22.6,1
9.04,27.6,1.05,4.3,12.1,1
5.6,28.2,0.99,5.6,13.4,1
6.33,27.1,0.99,8.4,19.7,0
5.09,24.0,1.07,8.3,21.0,1
6.47,20.8,1.2,2.8,16.6,1
8.87,26.1,1.17,3.4,4.0,1
7.59,20.8,1.36,2.3,9.0,1
6.74,28.3,1.11,8.4,1.5,1
6.86,24.6,1.08,4.2,8.1,0
5.01,28.0,0.93,4.6,14.7,1
6.5,22.0,1.25,7.4,20.3,1
8.23,34.0,0.88,5.1,15.1,0
9.87,33.4,1.09,2.0,2.0,1
9.24,22.8,1.05,4.5,7.2,1
5.12,25.2,1.19,6.0,14.9,1
9.49,29.2,1.35,6.8,18.0,1
8.92,21.4,1.37,6.2,21.8,1
8.9,25.3,0.9,2.0,24.2,1
7.29,23.8,0.96,3.4,22.4,0
6.99,33.7,1.29,6.9,12.2,0
6.51,32.8,1.11,8.0,18.9,0
5.33,28.7,1.07,1.4,6.8,1
6.14,27.8,1.23,1.3,2.5,1
6.23,34.0,1.16,6.1,2.3,1
7.42,34.0,1.38,5.4,6.8,1
8.74,34.5,1.15,2.2,1.9,1
7.37,21.9,1.08,5.4,21.4,0
5.29,22.4,1.13,8.8,12.8,1
9.79,30.2,1.29,6.0,20.5,1
9.71,28.1,1.17,4.6,23.6,1
8.93,20.3,1.19,7.6,24.9,1
9.96,20.9,1.38,2.7,23.5,1
7.72,33.3,1.17,4.3,18.2,0
9.81,33.0,1.03,5.2,11.6,1
5.38,25.4,1.21,5.0,15.4,1
6.83,33.4,1.2,8.4,20.6,0
6.13,28.9,0.81,3.3,22.5,0
5.98,32.1,1.08,1.5,24.0,1
5.7,26.4,1.25,8.3,18.5,1
8.11,21.7,1.1,2.7,14.0,1
8.91,26.5,1.27,4.0,24.2,1
7.89,26.9,1.07,5.2,24.0,0
5.73,28.3,1.39,8.8,12.5,1
9.06,21.6,0.98,5.3,16.6,1
8.18,34.9,0.86,4.6,20.4,0
6.94,23.7,1.06,5.7,11.4,0
8.37,23.0,1.13,8.8,20.9,0
6.3,27.9,1.01,7.5,3.7,1
6.73,28.1,0.95,2.4,12.5,1
9.59,26.6,1.2,7.4,12.6,1
6.45,31.6,1.03,7.7,17.4,0
7.35,27.7,1.18,6.5,3.8,1
9.45,29.1,1.27,6.3,3.5,1
8.54,30.9,1.26,4.5,22.6,1
5.31,20.4,1.03,6.1,8.3,1
5.74,28.6,1.14,6.9,8.8,1
5.04,33.3,1.07,2.0,19.6,1
8.15,20.3,1.32,3.1,11.0,1
7.24,26.1,1.33,2.6,21.0,1
5.67,33.9,1.01,7.7,10.6,1
9.79,25.3,0.86,6.4,19.3,1
7.65,26.9,0.9,4.6,13.6,0
6.21,34.7,1.02,7.6,23.5,0
7.5,23.0,1.14,6.7,8.9,0
8.4,21.0,1.19,8.3,9.7,0
5.38,32.9,1.0,1.6,24.3,1
6.37,33.0,1.2,5.1,18.7,0
9.03,27.1,1.36,6.7,19.5,1
7.3,27.7,1.19,2.7,8.1,1
7.73,32.5,0.9,3.6,13.8,0
7.16,31.1,1.15,4.4,8.5,0
5.22,24.0,1.13,7.4,7.2,1
5.83,20.3,1.32,4.9,13.8,1
7.23,27.2,1.01,4.9,24.7,0
6.05,32.9,1.05,4.4,6.2,0
5.25,33.4,1.16,2.8,6.8,1
9.22,34.3,1.11,8.4,6.8,1
9.91,33.2,1.23,3.5,20.0,1
8.97,28.7,0.82,5.5,13.3,1
9.27,26.7,1.14,2.2,10.2,1
6.21,31.6,0.87,4.5,21.3,0
9.8,31.1,0.99,8.2,8.1,1
5.98,28.1,1.2,9.0,10.4,1
9.76,21.3,0.89,3.9,2.8,1
9.97,33.9,0.99,2.2,3.9,1
8.56,26.8,1.22,3.5,4.3,1
9.91,25.5,1.19,3.6,9.3,1
7.85,29.4,0.85,6.2,13.6,0
6.3,30.1,1.15,5.0,1.0,1
7.18,23.2,0.89,7.1,5.6,0
7.97,32.6,0.95,6.6,5.2,0
5.37,24.3,1.08,3.0,7.1,1
8.11,22.8,0.87,7.3,5.0,1
9.91,26.1,1.4,7.8,5.7,1
5.95,31.0,0.9,5.8,24.6,1
8.96,34.5,1.27,8.4,15.3,1
9.54,32.1,1.3,7.3,19.3,1
9.72,34.1,1.4,5.8,20.7,1
9.8,22.1,1.06,8.2,17.0,1
7.61,21.1,1.32,5.8,17.9,1
9.89,28.4,1.37,5.2,16.2,1
8.79,24.4,0.9,3.9,16.6,1
5.81,32.4,1.09,8.1,23.3,1
7.38,30.1,0.84,2.0,5.5,1
8.59,34.6,1.17,4.8,7.6,1
6.24,23.8,1.15,5.3,3.2,1
8.2,27.3,0.92,5.4,21.1,0
8.33,27.5,1.28,6.2,11.8,1
5.81,23.6,0.82,5.0,22.8,1
7.83,28.9,1.28,3.1,10.9,1
8.86,26.6,0.82,7.9,11.6,1
7.49,26.7,1.19,6.3,11.8,0
5.06,25.4,0.85,7.9,15.7,1
5.05,20.3,0.95,3.2,19.4,1
6.79,27.8,1.23,6.1,9.4,0
9.63,25.0,0.97,6.7,16.1,1
6.14,20.0,1.11,4.1,5.9,0
8.17,24.6,1.35,7.5,14.3,1
6.11,24.2,0.83,1.0,14.1,1
6.61,25.9,1.29,5.8,22.3,1
9.24,22.0,0.84,5.9,22.5,1
8.64,27.6,0.88,5.3,12.7,1
5.48,30.4,0.87,6.0,1.6,1
7.14,29.5,1.4,2.3,21.3,1
5.15,32.1,0.91,6.5,1.0,1
7.4,26.8,1.34,3.7,12.5,1
8.31,27.8,1.39,4.6,1.5,1
5.59,32.2,1.03,3.7,9.5,1
6.44,26.4,1.18,4.8,16.3,0
6.99,30.5,1.27,6.0,9.9,1
9.6,26.5,1.04,7.7,23.2,1
9.97,26.3,0.9,4.9,16.4,1
5.22,31.4,1.06,3.6,16.5,1
8.81,22.6,1.26,4.9,10.0,1
6.86,25.1,1.27,6.5,1.9,1
6.96,23.4,0.94,3.8,18.7,0
8.77,25.4,0.9,4.3,18.2,1
9.59,23.5,1.35,5.5,13.7,1
9.75,28.7,0.83,3.4,11.0,1
7.89,32.0,1.24,2.7,13.9,1
6.79,31.8,0.83,2.1,18.9,1
8.94,25.5,1.3,3.8,18.1,1
6.26,34.8,1.34,1.4,16.8,1
7.82,28.9,0.98,5.7,22.7,0
6.79,26.0,0.84,2.4,15.6,1
8.28,32.5,1.09,4.0,1.3,1
6.2,30.9,0.98,3.2,15.8,0
5.96,31.2,1.05,6.0,15.7,1
9.59,22.9,1.2,7.8,2.7,1
5.51,27.0,0.93,6.1,11.3,1
7.53,32.9,1.01,5.3,16.6,0
6.1,27.6,1.27,6.4,17.9,1
5.19,30.3,1.19,1.2,22.4,1
5.18,28.8,1.0,2.0,21.2,1
5.88,32.6,1.2,1.8,3.8,1
9.33,24.3,1.26,1.8,15.6,1
6.41,28.6,1.16,3.1,15.3,0
9.75,21.8,0.94,5.3,8.3,1
7.91,30.4,0.8,1.9,5.4,1
7.18,31.0,1.28,8.5,5.8,1
7.9,20.6,1.29,7.8,5.3,1
7.58,30.1,1.22,8.8,20.4,0
8.79,26.2,0.85,1.3,4.6,1
6.41,21.9,1.15,7.8,7.3,0
6.77,26.3,1.29,7.4,6.2,1
9.47,22.9,1.03,8.2,18.1,1
9.73,26.2,0.92,5.2,4.8,1
9.46,25.8,1.15,7.3,1.6,1
7.1,31.1,1.3,1.4,10.0,1
8.9,31.6,0.83,1.6,8.3,1
7.38,29.1,1.16,1.9,10.5,1
7.49,20.3,1.19,8.3,19.1,0
6.02,34.0,1.16,1.5,1.3,1
7.96,30.3,1.19,1.8,1.9,1
5.93,20.5,1.18,8.4,7.1,1
6.66,32.3,0.88,1.9,22.3,1
9.28,23.0,0.94,8.0,5.1,1
6.04,28.7,1.17,7.3,24.9,0
5.36,27.0,0.81,1.3,20.3,1
5.35,26.3,1.18,1.2,11.9,1
9.7,33.3,1.2,5.3,18.9,1
7.53,26.6,0.94,9.0,13.5,0
7.05,21.1,1.16,8.0,14.6,0
9.05,34.2,1.12,3.5,14.9,1
9.18,33.8,0.96,4.1,16.6,1
6.66,30.3,1.08,4.1,2.5,1
8.47,27.0,1.35,6.9,15.8,1
8.86,21.4,1.06,3.7,18.2,1
8.27,31.9,1.18,2.2,8.5,1
5.76,21.1,0.82,7.0,24.5,1
9.38,21.0,0.85,4.7,4.5,1
7.7,28.1,0.85,1.6,22.9,1
6.41,22.4,1.27,7.3,17.2,1
7.13,20.1,1.01,5.7,16.9,0
5.19,26.3,0.94,4.9,22.0,1
5.64,22.1,1.25,6.4,21.0,1
8.83,22.4,0.9,5.0,9.3,1
5.0,21.2,0.95,6.2,17.9,1
7.08,23.1,1.06,7.9,2.2,1
7.61,30.7,1.0,5.9,12.1,0
5.27,32.1,1.15,6.3,23.5,1
9.87,26.8,1.0,5.9,7.6,1
6.13,27.6,1.04,5.2,2.2,1
6.52,20.5,1.32,2.4,15.0,1
6.52,21.0,1.33,3.7,9.5,1
6.15,23.9,1.3,6.5,10.1,1
5.01,28.2,1.32,4.4,15.0,1
8.65,31.1,1.14,4.2,15.9,1
9.83,29.1,1.19,7.1,11.5,1
6.12,25.9,1.13,1.0,13.2,1
8.32,21.8,1.27,6.4,24.8,1
8.71,31.7,1.13,4.9,24.0,1
9.24,25.5,0.87,4.0,18.0,1
7.11,31.0,1.29,3.7,4.9,1
6.51,27.7,1.26,2.4,9.6,1
6.63,31.1,1.29,3.7,22.2,1
8.56,33.6,0.91,4.1,11.2,1
9.08,33.8,0.96,4.5,23.9,1
5.91,28.0,0.98,6.4,12.7,1
6.85,27.7,1.1,4.6,21.7,0
9.51,24.0,0.88,7.4,1.8,1
9.03,34.0,1.03,6.1,11.4,1
9.92,26.9,0.91,2.5,17.8,1
8.77,21.9,0.96,3.2,21.7,1
6.97,26.5,1.22,1.6,15.6,1
7.95,21.9,1.31,8.6,5.2,1
8.31,27.5,0.81,8.1,22.3,0
5.39,28.4,1.14,1.7,14.8,1
7.72,25.1,0.82,5.6,3.6,0
8.55,21.1,0.85,8.7,12.1,1
5.84,34.2,1.22,7.0,17.8,1
8.9,31.6,1.24,4.9,11.8,1
7.92,32.6,1.29,2.9,21.9,1
9.76,25.5,1.08,3.2,11.2,1
5.21,31.4,1.32,6.9,15.0,1
6.33,27.3,0.9,7.2,6.1,0
8.01,23.0,0.95,5.2,13.3,0
6.48,21.9,0.88,2.0,6.3,1
8.57,25.2,1.28,8.5,6.4,1
8.8,22.1,0.94,7.8,7.7,1
5.51,35.0,0.89,2.1,2.1,1
7.57,20.7,1.17,1.5,4.9,1
7.54,26.6,0.85,5.3,11.2,0
6.85,26.8,0.83,3.3,4.1,1
9.66,24.5,0.86,3.3,4.2,1
9.14,28.6,0.8,1.7,24.2,1
8.49,22.2,1.22,8.6,11.3,0
8.57,31.8,1.14,7.6,10.7,1
7.31,25.0,0.93,1.9,7.4,1
9.6,28.9,0.94,8.0,13.3,1
8.47,30.7,1.29,6.5,15.3,1
8.64,33.3,1.1,3.6,11.0,1
9.31,32.5,1.22,8.0,10.5,1
6.37,29.1,1.07,5.8,17.8,0
9.04,25.8,0.94,7.8,23.8,1
5.98,27.5,1.38,4.8,22.1,1
6.73,31.5,1.14,5.0,3.8,1
6.68,33.2,0.88,3.3,16.7,0
9.89,21.6,1.04,4.1,1.2,1
9.28,25.8,1.0,5.5,16.2,1
8.51,31.6,0.93,8.6,12.1,1
8.64,26.5,1.36,5.8,12.8,1
7.81,25.0,1.33,2.2,15.1,1
9.74,26.2,0.92,1.1,18.8,1
